data;vendas_previstas;forecast_horizon
2025-10-08;41853.62930445982;60
2025-10-09;47094.613978825575;60
2025-10-10;47354.321534781775;60
2025-10-11;38415.3362130473;60
2025-10-12;10017.002757086468;60
2025-10-13;65249.166663804834;60
2025-10-14;47794.20230197081;60
2025-10-15;44398.12122110811;60
2025-10-16;58976.02318840226;60
2025-10-17;42314.27414188597;60
2025-10-18;40202.61704037516;60
2025-10-19;9105.923059094534;60
2025-10-20;48838.04810823246;60
2025-10-21;27807.361618946532;60
2025-10-22;39938.08799598711;60
2025-10-23;57627.88768712008;60
2025-10-24;53337.72514347901;60
2025-10-25;61007.69468191655;60
2025-10-26;8813.871881652036;60
2025-10-27;49372.84405739613;60
2025-10-28;42665.049290567615;60
2025-10-29;26730.828791236403;60
2025-10-30;47568.22298957433;60
2025-10-31;53368.79479067922;60
2025-11-01;42054.19084160501;60
2025-11-02;9277.98385710052;60
2025-11-03;39496.5949005168;60
2025-11-04;45332.58973088492;60
2025-11-05;33296.933263201965;60
2025-11-06;50195.961349158635;60
2025-11-07;61499.10165402493;60
2025-11-08;65971.90071493552;60
2025-11-09;8668.018164531288;60
2025-11-10;46388.616700052386;60
2025-11-11;57154.11491406562;60
2025-11-12;51053.98448653781;60
2025-11-13;65058.349679834566;60
2025-11-14;80374.86361763772;60
2025-11-15;39638.684046104645;60
2025-11-16;8896.49595121549;60
2025-11-17;54420.0182822084;60
2025-11-18;40760.70165483582;60
2025-11-19;49086.61157457794;60
2025-11-20;41282.64454598892;60
2025-11-21;48716.59535285924;60
2025-11-22;39583.3509279243;60
2025-11-23;8842.033791982809;60
2025-11-24;48806.34763773525;60
2025-11-25;61668.09306031224;60
2025-11-26;38877.61342945265;60
2025-11-27;51022.15312642086;60
2025-11-28;46793.30328078509;60
2025-11-29;46327.14647306441;60
2025-11-30;6243.645895597435;60
2025-12-01;38336.496118620285;60
2025-12-02;45491.71366288602;60
2025-12-03;58526.968131160545;60
2025-12-04;50345.40394630136;60
2025-12-05;57840.66308659311;60
2025-12-06;49846.74600451004;60
